,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28231,mb23ipmz,5,0.65,22.0,4.0,9.0,19.0,68,5.0,100,4,5,Cooperate,2,4.0,67da5ae29f57419143d2b99a,0,104,5,135,tuf4a7eb,r4o1vn50
28232,mb4oez6e,1,0.95,24.0,11.0,15.0,20.0,16,3.0,0,0,0,Defect,2,15.0,61708747570c3dfafc639fed,0,0,1,31,tuf4a7eb,qgi6urd0
28233,mb4oez6e,2,0.95,24.0,11.0,15.0,20.0,16,3.0,0,0,0,Defect,2,15.0,61708747570c3dfafc639fed,0,0,2,31,tuf4a7eb,qgi6urd0
28234,mb4oez6e,3,0.95,24.0,11.0,15.0,20.0,16,3.0,100,15,3,Defect,2,15.0,61708747570c3dfafc639fed,0,115,3,31,tuf4a7eb,qgi6urd0
28235,me7727k2,1,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,24.0,64526be1abfd84e77ccaeb63,0,0,1,77,tuf4a7eb,klbr18h1
28236,me7727k2,2,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,2,77,tuf4a7eb,klbr18h1
28237,me7727k2,3,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,3,77,tuf4a7eb,klbr18h1
28238,me7727k2,4,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,4,77,tuf4a7eb,klbr18h1
28239,me7727k2,5,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,5,77,tuf4a7eb,klbr18h1
28240,me7727k2,6,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,6,77,tuf4a7eb,klbr18h1
28241,me7727k2,7,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,7,77,tuf4a7eb,klbr18h1
